id,uri,prefLabel,definition
SDN:L06::74,http://vocab.nerc.ac.uk/collection/L06/current/74/,seabird and duck,"A flighted bird that is able to exist on the water column surface and dive into the water column (e.g. cormorants, auks, ducks and gulls)."
SDN:L06::9B,http://vocab.nerc.ac.uk/collection/L06/current/9B/,hovercraft,A craft capable of moving over water or land on a downwardly-propelled cushion of air.
SDN:L06::34,http://vocab.nerc.ac.uk/collection/L06/current/34/,vessel at fixed position,A platform of any size occupying a fixed location on the surface of the water column for prolonged periods collecting scientific (oceanographic and meteorological) data as a primary or secondary mission.  Includes light vessels and weather ships.
SDN:L06::39,http://vocab.nerc.ac.uk/collection/L06/current/39/,naval vessel,"A platform operating on the surface of the water column in unpredictable locations that is primarily equipped, manned and operated for military purposes.  Includes surface warships of all sizes and logistic support vessels."
SDN:L06::96,http://vocab.nerc.ac.uk/collection/L06/current/96/,amphibious crawler,A self-propelled vehicle capable of operation on land or the seabed (e.g. beach crawler).
SDN:L06::19,http://vocab.nerc.ac.uk/collection/L06/current/19/,mesocosm bag,"A large polythene bag containing a water sample suspended in the natural environment so that it shares ambient physical conditions such as temperature and light levels, but is chemically isolated to allow experiments such as fertilisation."
SDN:L06::11,http://vocab.nerc.ac.uk/collection/L06/current/11/,fixed benthic node,"A collection of oceanographic instruments mounted at a fixed position on the seabed (e.g. POL Monitoring Platform, seabed ADCP)."
SDN:L06::53,http://vocab.nerc.ac.uk/collection/L06/current/53/,tethered balloon,"A container filled with a gas that is lighter than air, which is tethered at a fixed height and location."
SDN:L06::12,http://vocab.nerc.ac.uk/collection/L06/current/12/,sea bed vehicle,An instrumented platform that is propelled on wheels or tracks on the seabed (e.g benthic crawler).
SDN:L06::0,http://vocab.nerc.ac.uk/collection/L06/current/0/,unknown,"The correct value is not known to, and not computable by, the creator of this information. However, a correct value probably exists."
SDN:L06::23,http://vocab.nerc.ac.uk/collection/L06/current/23/,towed unmanned submersible,"A vehicle towed by rigid cable through the water column at fixed or varying depth with no propulsion and no human operator (e.g. Towfish, Scanfish, UOR, SeaSoar)."
SDN:L06::17,http://vocab.nerc.ac.uk/collection/L06/current/17/,coastal structure,A fixed man-made structure permanently linked to land with access to water at all states of the tide to which instrumentation may be attached (e.g. pier).
SDN:L06::45,http://vocab.nerc.ac.uk/collection/L06/current/45/,fixed subsurface vertical profiler,"A platform that periodically makes an automated vertical traverse of the water column at a predetermined fixed location. (e.g. YSI vertical profiler, HOMER CTD)."
SDN:L06::21,http://vocab.nerc.ac.uk/collection/L06/current/21/,propelled manned submersible,A platform operating in the water column that has both self-contained propulsion and at least one human operator on board (e.g. submarine).
SDN:L06::75,http://vocab.nerc.ac.uk/collection/L06/current/75/,cetacean,A mammal that exists within the water column but needing to regularly surface to breathe (i.e. dolphins and whales).
SDN:L06::46,http://vocab.nerc.ac.uk/collection/L06/current/46/,drifting subsurface profiling float,An unmanned instrumented platform drifting freely in the water column that periodically makes vertical traverses through the water column (e.g. Argo float).
SDN:L06::14,http://vocab.nerc.ac.uk/collection/L06/current/14/,land/onshore structure,A fixed man-made structure on land to which instrumentation may be attached (e.g. meteorological tower).
SDN:L06::71,http://vocab.nerc.ac.uk/collection/L06/current/71/,human,A human being without specialised equipment operating on land or the surface of the water column.
SDN:L06::77,http://vocab.nerc.ac.uk/collection/L06/current/77/,land-sea mammals,"A mammal that exists both on land and within the water column. Includes seals, sealions, sea-otters and walruses."
SDN:L06::64,http://vocab.nerc.ac.uk/collection/L06/current/64/,geostationary orbiting satellite,A vehicle operating beyond the Earth's atmosphere without human occupants that orbits the Earth at the same rate as the Earth's rotation keeping it over a fixed location on the Earth's surface..
SDN:L06::65,http://vocab.nerc.ac.uk/collection/L06/current/65/,orbiting satellite,A vehicle operating beyond the Earth's atmosphere without human occupants that orbits the Earth at a different rate to the Earth's rotation so it moves over the Earth's surface..
SDN:L06::51,http://vocab.nerc.ac.uk/collection/L06/current/51/,free-rising balloon,"A container filled with a gas that is lighter than air, which is constrained to rise vertically at a fixed location."
SDN:L06::25,http://vocab.nerc.ac.uk/collection/L06/current/25/,autonomous underwater vehicle,"A free-roving platform operating in the water column with propulsion but no human operator on board (e.g. Autosub, Gavia)."
SDN:L06::27,http://vocab.nerc.ac.uk/collection/L06/current/27/,sub-surface gliders,Platforms with buoyancy-based propulsion that are capable of operations at variable depths which are not constrained to be near the sea surface.
SDN:L06::31,http://vocab.nerc.ac.uk/collection/L06/current/31/,research vessel,"A platform of any size operating on the surface of the water column in unpredictable locations that is specifically equipped, manned and operated for scientific, usually oceanographic, research."
